Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 11 [45000/50000 (90%)]	Loss: 0.573634	Accuracy: 0.76
Train Epoch: 11 [47500/50000 (95%)]	Loss: 0.416031	Accuracy: 0.84

Test set: Epoch: 11 Average loss: 16.3240, Accuracy: 7130/10000 (71%)

Best acc:71.3

Train Epoch: 12 [0/50000 (0%)]	Loss: 0.670652	Accuracy: 0.76
Train Epoch: 12 [2500/50000 (5%)]	Loss: 0.412974	Accuracy: 0.9
Train Epoch: 12 [5000/50000 (10%)]	Loss: 0.525290	Accuracy: 0.8
Train Epoch: 12 [7500/50000 (15%)]	Loss: 0.601313	Accuracy: 0.74
Train Epoch: 12 [10000/50000 (20%)]	Loss: 0.558970	Accuracy: 0.8
Train Epoch: 12 [12500/50000 (25%)]	Loss: 0.489087	Accuracy: 0.8
Train Epoch: 12 [15000/50000 (30%)]	Loss: 0.399054	Accuracy: 0.8
Train Epoch: 12 [17500/50000 (35%)]	Loss: 0.560855	Accuracy: 0.84
Train Epoch: 12 [20000/50000 (40%)]	Loss: 0.424205	Accuracy: 0.86
Train Epoch: 12 [22500/50000 (45%)]	Loss: 0.561957	Accuracy: 0.8
Train Epoch: 12 [25000/50000 (50%)]	Loss: 0.356808	Accuracy: 0.88
Train Epoch: 12 [27500/50000 (55%)]	Loss: 0.843575	Accuracy: 0.7
Train Epoch: 12 [30000/50000 (60%)]	Loss: 0.578044	Accuracy: 0.82
Train Epoch: 12 [32500/50000 (65%)]	Loss: 0.721595	Accuracy: 0.7
Train Epoch: 12 [35000/50000 (70%)]	Loss: 0.348036	Accuracy: 0.88
Train Epoch: 12 [37500/50000 (75%)]	Loss: 0.542726	Accuracy: 0.84
Train Epoch: 12 [40000/50000 (80%)]	Loss: 0.629942	Accuracy: 0.74
Train Epoch: 12 [42500/50000 (85%)]	Loss: 0.872025	Accuracy: 0.62
Train Epoch: 12 [45000/50000 (90%)]	Loss: 0.412411	Accuracy: 0.86
Train Epoch: 12 [47500/50000 (95%)]	Loss: 0.566659	Accuracy: 0.82

Test set: Epoch: 12 Average loss: 16.9894, Accuracy: 6410/10000 (64%)

Best acc:71.3

Train Epoch: 13 [0/50000 (0%)]	Loss: 0.457240	Accuracy: 0.86
Train Epoch: 13 [2500/50000 (5%)]	Loss: 0.391867	Accuracy: 0.88
Train Epoch: 13 [5000/50000 (10%)]	Loss: 0.605692	Accuracy: 0.78
Train Epoch: 13 [7500/50000 (15%)]	Loss: 0.477378	Accuracy: 0.86
Train Epoch: 13 [10000/50000 (20%)]	Loss: 0.494168	Accuracy: 0.88
Train Epoch: 13 [12500/50000 (25%)]	Loss: 0.537524	Accuracy: 0.86
Train Epoch: 13 [15000/50000 (30%)]	Loss: 0.559229	Accuracy: 0.78
Train Epoch: 13 [17500/50000 (35%)]	Loss: 0.571051	Accuracy: 0.82
Train Epoch: 13 [20000/50000 (40%)]	Loss: 0.593035	Accuracy: 0.82
Train Epoch: 13 [22500/50000 (45%)]	Loss: 0.665518	Accuracy: 0.82
Train Epoch: 13 [25000/50000 (50%)]	Loss: 0.457163	Accuracy: 0.82
Train Epoch: 13 [27500/50000 (55%)]	Loss: 0.660521	Accuracy: 0.76
Train Epoch: 13 [30000/50000 (60%)]	Loss: 0.603396	Accuracy: 0.8
Train Epoch: 13 [32500/50000 (65%)]	Loss: 0.662289	Accuracy: 0.72
Train Epoch: 13 [35000/50000 (70%)]	Loss: 0.480013	Accuracy: 0.84
Train Epoch: 13 [37500/50000 (75%)]	Loss: 0.774382	Accuracy: 0.72
Train Epoch: 13 [40000/50000 (80%)]	Loss: 0.411027	Accuracy: 0.82
Train Epoch: 13 [42500/50000 (85%)]	Loss: 0.307519	Accuracy: 0.92
Train Epoch: 13 [45000/50000 (90%)]	Loss: 0.525295	Accuracy: 0.86
Train Epoch: 13 [47500/50000 (95%)]	Loss: 0.613136	Accuracy: 0.8

Test set: Epoch: 13 Average loss: 18.4557, Accuracy: 7210/10000 (72%)

Best acc:72.1

Train Epoch: 14 [0/50000 (0%)]	Loss: 0.388991	Accuracy: 0.84
Train Epoch: 14 [2500/50000 (5%)]	Loss: 0.335268	Accuracy: 0.92
Train Epoch: 14 [5000/50000 (10%)]	Loss: 0.533302	Accuracy: 0.86
Train Epoch: 14 [7500/50000 (15%)]	Loss: 0.680874	Accuracy: 0.78
Train Epoch: 14 [10000/50000 (20%)]	Loss: 0.370720	Accuracy: 0.84
Train Epoch: 14 [12500/50000 (25%)]	Loss: 0.465131	Accuracy: 0.84
Train Epoch: 14 [15000/50000 (30%)]	Loss: 0.584373	Accuracy: 0.8
Train Epoch: 14 [17500/50000 (35%)]	Loss: 0.404335	Accuracy: 0.84
Train Epoch: 14 [20000/50000 (40%)]	Loss: 0.660436	Accuracy: 0.76
Train Epoch: 14 [22500/50000 (45%)]	Loss: 0.597394	Accuracy: 0.74
Train Epoch: 14 [25000/50000 (50%)]	Loss: 0.598813	Accuracy: 0.76
Train Epoch: 14 [27500/50000 (55%)]	Loss: 0.638131	Accuracy: 0.72
